SampleSize,Trial,Estimator,RuntimeNs
100000,0,UnbiasedOptim,1774708
100000,0,BiasedOptim,1811750
100000,0,PopulationOptim,504083
100000,0,BarianceOptim,1021958
100000,0,AltBarianceOptim,1045833
100000,1,UnbiasedOptim,491125
100000,1,BiasedOptim,527958
100000,1,PopulationOptim,509417
100000,1,BarianceOptim,209500
100000,1,AltBarianceOptim,209708
100000,2,UnbiasedOptim,491667
100000,2,BiasedOptim,544000
100000,2,PopulationOptim,499459
100000,2,BarianceOptim,200083
100000,2,AltBarianceOptim,200167
100000,3,UnbiasedOptim,517750
100000,3,BiasedOptim,481791
100000,3,PopulationOptim,505917
100000,3,BarianceOptim,138500
100000,3,AltBarianceOptim,129625
100000,4,UnbiasedOptim,484959
100000,4,BiasedOptim,510167
100000,4,PopulationOptim,486583
100000,4,BarianceOptim,89833
100000,4,AltBarianceOptim,97375
100000,5,UnbiasedOptim,458834
100000,5,BiasedOptim,458500
100000,5,PopulationOptim,458250
100000,5,BarianceOptim,85750
100000,5,AltBarianceOptim,85792
100000,6,UnbiasedOptim,503458
100000,6,BiasedOptim,492459
100000,6,PopulationOptim,492000
100000,6,BarianceOptim,92167
100000,6,AltBarianceOptim,92417
100000,7,UnbiasedOptim,484792
100000,7,BiasedOptim,479083
100000,7,PopulationOptim,502792
100000,7,BarianceOptim,92250
100000,7,AltBarianceOptim,95416
100000,8,UnbiasedOptim,492666
100000,8,BiasedOptim,492500
100000,8,PopulationOptim,492083
100000,8,BarianceOptim,92167
100000,8,AltBarianceOptim,92250
100000,9,UnbiasedOptim,490792
100000,9,BiasedOptim,484708
100000,9,PopulationOptim,498291
100000,9,BarianceOptim,92042
100000,9,AltBarianceOptim,91458
100000,10,UnbiasedOptim,507167
100000,10,BiasedOptim,494958
100000,10,PopulationOptim,495167
100000,10,BarianceOptim,95250
100000,10,AltBarianceOptim,95917
100000,11,UnbiasedOptim,532542
100000,11,BiasedOptim,492708
100000,11,PopulationOptim,492000
100000,11,BarianceOptim,92167
100000,11,AltBarianceOptim,92208
100000,12,UnbiasedOptim,497917
100000,12,BiasedOptim,492375
100000,12,PopulationOptim,492167
100000,12,BarianceOptim,92166
100000,12,AltBarianceOptim,91958
100000,13,UnbiasedOptim,498042
100000,13,BiasedOptim,497917
100000,13,PopulationOptim,484625
100000,13,BarianceOptim,89500
100000,13,AltBarianceOptim,89375
100000,14,UnbiasedOptim,494167
100000,14,BiasedOptim,503416
100000,14,PopulationOptim,491292
100000,14,BarianceOptim,89500
100000,14,AltBarianceOptim,89375
100000,15,UnbiasedOptim,498875
100000,15,BiasedOptim,494625
100000,15,PopulationOptim,489333
100000,15,BarianceOptim,94834
100000,15,AltBarianceOptim,89375
100000,16,UnbiasedOptim,458916
100000,16,BiasedOptim,458583
100000,16,PopulationOptim,458250
100000,16,BarianceOptim,85875
100000,16,AltBarianceOptim,85834
100000,17,UnbiasedOptim,492542
100000,17,BiasedOptim,492416
100000,17,PopulationOptim,492167
100000,17,BarianceOptim,92291
100000,17,AltBarianceOptim,92375
100000,18,UnbiasedOptim,492250
100000,18,BiasedOptim,494083
