SampleSize,Trial,Estimator,RuntimeNs
100,0,Unbiased,3375
100,0,BarianceOpt,3666
100,1,Unbiased,2375
100,1,BarianceOpt,1666
100,2,Unbiased,2333
100,2,BarianceOpt,1625
100,3,Unbiased,2125
100,3,BarianceOpt,1375
100,4,Unbiased,2042
100,4,BarianceOpt,1541
100,5,Unbiased,2625
100,5,BarianceOpt,1542
100,6,Unbiased,2042
100,6,BarianceOpt,1459
100,7,Unbiased,5375
100,7,BarianceOpt,3375
100,8,Unbiased,2459
100,8,BarianceOpt,1625
100,9,Unbiased,2125
100,9,BarianceOpt,1375
100,10,Unbiased,2458
100,10,BarianceOpt,1792
100,11,Unbiased,2000
100,11,BarianceOpt,1625
100,12,Unbiased,2084
100,12,BarianceOpt,1459
100,13,Unbiased,2042
100,13,BarianceOpt,1500
100,14,Unbiased,2041
100,14,BarianceOpt,1542
100,15,Unbiased,2417
100,15,BarianceOpt,1500
100,16,Unbiased,2041
100,16,BarianceOpt,1500
100,17,Unbiased,2167
100,17,BarianceOpt,1917
100,18,Unbiased,2416
100,18,BarianceOpt,1708
100,19,Unbiased,2208
100,19,BarianceOpt,1625
100,20,Unbiased,2500
100,20,BarianceOpt,1750
100,21,Unbiased,2125
100,21,BarianceOpt,1583
100,22,Unbiased,2042
100,22,BarianceOpt,1625
100,23,Unbiased,2125
100,23,BarianceOpt,1667
100,24,Unbiased,2125
100,24,BarianceOpt,1542
100,25,Unbiased,2375
100,25,BarianceOpt,1500
100,26,Unbiased,2167
100,26,BarianceOpt,1625
100,27,Unbiased,2167
100,27,BarianceOpt,1541
100,28,Unbiased,2083
100,28,BarianceOpt,1333
100,29,Unbiased,2084
100,29,BarianceOpt,1667
100,30,Unbiased,2375
100,30,BarianceOpt,1792
100,31,Unbiased,2000
100,31,BarianceOpt,1541
100,32,Unbiased,2125
100,32,BarianceOpt,1541
100,33,Unbiased,5542
100,33,BarianceOpt,3417
100,34,Unbiased,4750
100,34,BarianceOpt,3417
