SampleSize,Trial,Estimator,RuntimeNs
1000,0,Unbiased,42958
1000,0,BarianceOpt,16291
1000,1,Unbiased,19917
1000,1,BarianceOpt,13958
1000,2,Unbiased,19833
1000,2,BarianceOpt,12959
1000,3,Unbiased,19500
1000,3,BarianceOpt,14625
1000,4,Unbiased,19625
1000,4,BarianceOpt,14417
1000,5,Unbiased,19667
1000,5,BarianceOpt,13125
1000,6,Unbiased,19708
1000,6,BarianceOpt,12750
1000,7,Unbiased,19708
1000,7,BarianceOpt,12708
1000,8,Unbiased,19625
1000,8,BarianceOpt,12875
1000,9,Unbiased,19500
1000,9,BarianceOpt,12958
1000,10,Unbiased,19584
1000,10,BarianceOpt,13209
1000,11,Unbiased,19458
1000,11,BarianceOpt,14208
1000,12,Unbiased,19625
1000,12,BarianceOpt,13209
1000,13,Unbiased,19541
1000,13,BarianceOpt,13667
1000,14,Unbiased,19792
1000,14,BarianceOpt,12875
1000,15,Unbiased,19833
1000,15,BarianceOpt,12750
1000,16,Unbiased,19583
1000,16,BarianceOpt,13458
1000,17,Unbiased,19625
1000,17,BarianceOpt,13709
1000,18,Unbiased,19625
1000,18,BarianceOpt,13833
1000,19,Unbiased,19459
1000,19,BarianceOpt,14667
1000,20,Unbiased,19958
1000,20,BarianceOpt,13000
1000,21,Unbiased,18958
1000,21,BarianceOpt,13958
1000,22,Unbiased,18917
1000,22,BarianceOpt,12292
1000,23,Unbiased,19292
1000,23,BarianceOpt,13458
1000,24,Unbiased,19125
1000,24,BarianceOpt,15542
1000,25,Unbiased,19458
1000,25,BarianceOpt,13292
1000,26,Unbiased,19667
1000,26,BarianceOpt,13375
1000,27,Unbiased,19791
1000,27,BarianceOpt,16250
1000,28,Unbiased,19791
1000,28,BarianceOpt,13875
1000,29,Unbiased,19708
1000,29,BarianceOpt,12666
1000,30,Unbiased,24167
1000,30,BarianceOpt,15166
1000,31,Unbiased,20125
1000,31,BarianceOpt,14208
1000,32,Unbiased,11000
1000,32,BarianceOpt,14500
1000,33,Unbiased,4875
1000,33,BarianceOpt,14125
1000,34,Unbiased,4167
1000,34,BarianceOpt,13834
1000,35,Unbiased,4708
1000,35,BarianceOpt,13166
1000,36,Unbiased,4083
1000,36,BarianceOpt,14500
1000,37,Unbiased,4250
1000,37,BarianceOpt,14584
1000,38,Unbiased,4042
1000,38,BarianceOpt,13250
1000,39,Unbiased,5584
1000,39,BarianceOpt,16167
1000,40,Unbiased,4250
1000,40,BarianceOpt,14875
1000,41,Unbiased,4250
1000,41,BarianceOpt,14583
1000,42,Unbiased,4166
1000,42,BarianceOpt,14750
1000,43,Unbiased,4542
1000,43,BarianceOpt,14583
1000,44,Unbiased,4125
1000,44,BarianceOpt,12709
1000,45,Unbiased,4083
1000,45,BarianceOpt,12666
1000,46,Unbiased,4125
1000,46,BarianceOpt,13583
