SampleSize,Trial,Estimator,RuntimeNs
100,0,Unbiased,4709
100,0,Biased,3958
100,0,BarianceOpt,3417
100,0,NaivePairwise,68500
100,0,UnbiasedPairwise,66209
100,0,BiasedPairwise,66084
100,0,PopulationVar,3667
100,0,AltBariance,3042
100,1,Unbiased,2583
100,1,Biased,2375
100,1,BarianceOpt,1625
100,1,NaivePairwise,66917
100,1,UnbiasedPairwise,64916
100,1,BiasedPairwise,64625
100,1,PopulationVar,2250
100,1,AltBariance,1708
100,2,Unbiased,2417
100,2,Biased,2208
100,2,BarianceOpt,1542
100,2,NaivePairwise,65291
100,2,UnbiasedPairwise,65125
100,2,BiasedPairwise,64500
100,2,PopulationVar,2208
100,2,AltBariance,1584
100,3,Unbiased,2334
100,3,Biased,2292
100,3,BarianceOpt,1750
100,3,NaivePairwise,65291
100,3,UnbiasedPairwise,64250
100,3,BiasedPairwise,70959
100,3,PopulationVar,2333
100,3,AltBariance,1458
100,4,Unbiased,2209
100,4,Biased,2084
100,4,BarianceOpt,1500
100,4,NaivePairwise,41000
100,4,UnbiasedPairwise,12541
100,4,BiasedPairwise,12292
100,4,PopulationVar,2167
100,4,AltBariance,1625
100,5,Unbiased,2500
100,5,Biased,2334
100,5,BarianceOpt,1625
100,5,NaivePairwise,11541
100,5,UnbiasedPairwise,10875
100,5,BiasedPairwise,10375
100,5,PopulationVar,2583
100,5,AltBariance,1584
100,6,Unbiased,2167
100,6,Biased,2084
100,6,BarianceOpt,1708
100,6,NaivePairwise,10708
100,6,UnbiasedPairwise,10416
100,6,BiasedPairwise,30125
100,6,PopulationVar,2167
100,6,AltBariance,1500
100,7,Unbiased,2209
100,7,Biased,2208
100,7,BarianceOpt,1500
100,7,NaivePairwise,10958
100,7,UnbiasedPairwise,10375
100,7,BiasedPairwise,10875
100,7,PopulationVar,2208
100,7,AltBariance,1458
100,8,Unbiased,2291
100,8,Biased,2125
100,8,BarianceOpt,1542
100,8,NaivePairwise,10791
100,8,UnbiasedPairwise,10375
100,8,BiasedPairwise,10667
100,8,PopulationVar,2042
100,8,AltBariance,1750
100,9,Unbiased,2083
100,9,Biased,2042
100,9,BarianceOpt,1500
100,9,NaivePairwise,10292
100,9,UnbiasedPairwise,10708
100,9,BiasedPairwise,10584
100,9,PopulationVar,2792
100,9,AltBariance,1917
100,10,Unbiased,2833
100,10,Biased,2666
100,10,BarianceOpt,2000
100,10,NaivePairwise,10459
100,10,UnbiasedPairwise,10958
100,10,BiasedPairwise,10542
100,10,PopulationVar,2708
100,10,AltBariance,2000
100,11,Unbiased,2167
100,11,Biased,2125
100,11,BarianceOpt,1500
100,11,NaivePairwise,10833
100,11,UnbiasedPairwise,10708
100,11,BiasedPairwise,10333
100,11,PopulationVar,2166
100,11,AltBariance,1542
100,12,Unbiased,2125
100,12,Biased,2125
100,12,BarianceOpt,1542
100,12,NaivePairwise,10958
100,12,UnbiasedPairwise,10500
100,12,BiasedPairwise,10375
100,12,PopulationVar,2083
100,12,AltBariance,1583
100,13,Unbiased,2125
100,13,Biased,2167
100,13,BarianceOpt,1458
100,13,NaivePairwise,10833
100,13,UnbiasedPairwise,10417
100,13,BiasedPairwise,10583
100,13,PopulationVar,2084
100,13,AltBariance,1375
100,14,Unbiased,2125
100,14,Biased,2083
100,14,BarianceOpt,11458
100,14,NaivePairwise,10792
100,14,UnbiasedPairwise,10334
100,14,BiasedPairwise,10541
100,14,PopulationVar,2167
100,14,AltBariance,1417
100,15,Unbiased,2375
100,15,Biased,2292
100,15,BarianceOpt,1459
100,15,NaivePairwise,10333
100,15,UnbiasedPairwise,10541
100,15,BiasedPairwise,10583
100,15,PopulationVar,2541
100,15,AltBariance,1417
100,16,Unbiased,2250
100,16,Biased,2084
100,16,BarianceOpt,1458
100,16,NaivePairwise,10417
100,16,UnbiasedPairwise,10833
100,16,BiasedPairwise,10625
100,16,PopulationVar,2042
100,16,AltBariance,1416
100,17,Unbiased,2209
100,17,Biased,2166
100,17,BarianceOpt,1500
100,17,NaivePairwise,10334
100,17,UnbiasedPairwise,10625
100,17,BiasedPairwise,10375
100,17,PopulationVar,2084
100,17,AltBariance,1541
100,18,Unbiased,2084
100,18,Biased,2084
100,18,BarianceOpt,1583
100,18,NaivePairwise,10792
100,18,UnbiasedPairwise,10667
