SampleSize,Trial,Estimator,RuntimeNs
100,0,Unbiased,4709
100,0,Biased,4292
100,0,BarianceOpt,3083
100,0,NaivePairwise,68375
100,0,UnbiasedPairwise,65584
100,0,BiasedPairwise,65958
100,0,PopulationVar,3541
100,0,AltBariance,3250
100,1,Unbiased,2584
100,1,Biased,2750
100,1,BarianceOpt,1834
100,1,NaivePairwise,65041
100,1,UnbiasedPairwise,64542
100,1,BiasedPairwise,77083
100,1,PopulationVar,2500
100,1,AltBariance,1791
100,2,Unbiased,2375
100,2,Biased,2334
100,2,BarianceOpt,1833
100,2,NaivePairwise,64833
100,2,UnbiasedPairwise,64750
100,2,BiasedPairwise,64875
100,2,PopulationVar,2208
100,2,AltBariance,1708
100,3,Unbiased,2291
100,3,Biased,2292
100,3,BarianceOpt,1708
100,3,NaivePairwise,64417
100,3,UnbiasedPairwise,64166
100,3,BiasedPairwise,68084
100,3,PopulationVar,2291
100,3,AltBariance,1667
100,4,Unbiased,2333
100,4,Biased,2208
100,4,BarianceOpt,1791
100,4,NaivePairwise,62667
100,4,UnbiasedPairwise,62958
100,4,BiasedPairwise,63084
100,4,PopulationVar,2125
100,4,AltBariance,1833
100,5,Unbiased,2625
100,5,Biased,2542
100,5,BarianceOpt,1500
100,5,NaivePairwise,19625
100,5,UnbiasedPairwise,15167
100,5,BiasedPairwise,17542
100,5,PopulationVar,2583
100,5,AltBariance,1583
100,6,Unbiased,2292
100,6,Biased,2291
100,6,BarianceOpt,1958
100,6,NaivePairwise,11583
100,6,UnbiasedPairwise,10584
100,6,BiasedPairwise,10583
100,6,PopulationVar,2084
100,6,AltBariance,1375
100,7,Unbiased,2167
100,7,Biased,2125
100,7,BarianceOpt,1375
100,7,NaivePairwise,10083
100,7,UnbiasedPairwise,31500
100,7,BiasedPairwise,11084
100,7,PopulationVar,2500
100,7,AltBariance,1625
100,8,Unbiased,2125
100,8,Biased,2125
100,8,BarianceOpt,1500
100,8,NaivePairwise,10375
100,8,UnbiasedPairwise,10708
100,8,BiasedPairwise,10417
100,8,PopulationVar,2083
100,8,AltBariance,1583
100,9,Unbiased,2209
100,9,Biased,2042
100,9,BarianceOpt,1458
100,9,NaivePairwise,10667
100,9,UnbiasedPairwise,10542
100,9,BiasedPairwise,11875
100,9,PopulationVar,2667
100,9,AltBariance,1708
100,10,Unbiased,2500
100,10,Biased,2416
100,10,BarianceOpt,2000
100,10,NaivePairwise,10625
100,10,UnbiasedPairwise,10542
100,10,BiasedPairwise,10417
100,10,PopulationVar,2583
100,10,AltBariance,2000
100,11,Unbiased,2083
100,11,Biased,2083
100,11,BarianceOpt,1500
100,11,NaivePairwise,10666
100,11,UnbiasedPairwise,10333
100,11,BiasedPairwise,10583
100,11,PopulationVar,2042
100,11,AltBariance,1500
100,12,Unbiased,2334
100,12,Biased,2167
100,12,BarianceOpt,1541
100,12,NaivePairwise,10667
100,12,UnbiasedPairwise,10500
100,12,BiasedPairwise,10542
100,12,PopulationVar,2208
100,12,AltBariance,1458
100,13,Unbiased,2334
100,13,Biased,2041
100,13,BarianceOpt,1500
100,13,NaivePairwise,10041
100,13,UnbiasedPairwise,10417
100,13,BiasedPairwise,10625
100,13,PopulationVar,2000
100,13,AltBariance,1541
100,14,Unbiased,2000
100,14,Biased,2083
100,14,BarianceOpt,11625
100,14,NaivePairwise,10166
100,14,UnbiasedPairwise,10500
100,14,BiasedPairwise,10250
100,14,PopulationVar,2084
100,14,AltBariance,1458
100,15,Unbiased,2375
100,15,Biased,2375
100,15,BarianceOpt,1417
100,15,NaivePairwise,10000
100,15,UnbiasedPairwise,10375
100,15,BiasedPairwise,10125
100,15,PopulationVar,2375
100,15,AltBariance,1458
100,16,Unbiased,2250
100,16,Biased,2125
100,16,BarianceOpt,1792
100,16,NaivePairwise,10458
100,16,UnbiasedPairwise,10500
100,16,BiasedPairwise,10042
100,16,PopulationVar,2000
100,16,AltBariance,1542
100,17,Unbiased,2000
100,17,Biased,2042
100,17,BarianceOpt,1416
100,17,NaivePairwise,10333
100,17,UnbiasedPairwise,10250
100,17,BiasedPairwise,10042
100,17,PopulationVar,2000
100,17,AltBariance,1500
100,18,Unbiased,2167
100,18,Biased,2042
100,18,BarianceOpt,1500
100,18,NaivePairwise,10417
100,18,UnbiasedPairwise,10125
100,18,BiasedPairwise,10625
100,18,PopulationVar,2042
100,18,AltBariance,1583
100,19,Unbiased,2042
100,19,Biased,2125
100,19,BarianceOpt,1416
100,19,NaivePairwise,10333
100,19,UnbiasedPairwise,9959
100,19,BiasedPairwise,10292
100,19,PopulationVar,2000
100,19,AltBariance,1541
100,20,Unbiased,2917
100,20,Biased,2709
100,20,BarianceOpt,1792
100,20,NaivePairwise,10291
100,20,UnbiasedPairwise,10583
100,20,BiasedPairwise,10583
100,20,PopulationVar,2416
100,20,AltBariance,1958
100,21,Unbiased,2250
100,21,Biased,2084
100,21,BarianceOpt,1583
100,21,NaivePairwise,10333
100,21,UnbiasedPairwise,10583
100,21,BiasedPairwise,10500
100,21,PopulationVar,2042
100,21,AltBariance,1500
100,22,Unbiased,2125
100,22,Biased,2083
100,22,BarianceOpt,1625
100,22,NaivePairwise,10333
100,22,UnbiasedPairwise,10583
100,22,BiasedPairwise,10333
100,22,PopulationVar,2084
100,22,AltBariance,1417
100,23,Unbiased,2167
100,23,Biased,2042
100,23,BarianceOpt,1583
100,23,NaivePairwise,10500
100,23,UnbiasedPairwise,10583
100,23,BiasedPairwise,10333
100,23,PopulationVar,2125
100,23,AltBariance,1541
100,24,Unbiased,2125
100,24,Biased,2167
100,24,BarianceOpt,1583
100,24,NaivePairwise,10542
100,24,UnbiasedPairwise,10333
100,24,BiasedPairwise,10666
100,24,PopulationVar,2042
100,24,AltBariance,1542
100,25,Unbiased,2584
100,25,Biased,2375
100,25,BarianceOpt,1709
100,25,NaivePairwise,10500
100,25,UnbiasedPairwise,10375
100,25,BiasedPairwise,10708
100,25,PopulationVar,2584
100,25,AltBariance,1583
100,26,Unbiased,2125
100,26,Biased,2083
100,26,BarianceOpt,1625
100,26,NaivePairwise,30208
100,26,UnbiasedPairwise,10458
100,26,BiasedPairwise,38042
100,26,PopulationVar,2250
100,26,AltBariance,1792
100,27,Unbiased,2208
100,27,Biased,2125
100,27,BarianceOpt,1542
100,27,NaivePairwise,10000
100,27,UnbiasedPairwise,21292
100,27,BiasedPairwise,10042
100,27,PopulationVar,2084
100,27,AltBariance,1458
100,28,Unbiased,2125
100,28,Biased,2083
100,28,BarianceOpt,1625
100,28,NaivePairwise,22125
100,28,UnbiasedPairwise,10083
100,28,BiasedPairwise,21750
100,28,PopulationVar,2125
100,28,AltBariance,1375
100,29,Unbiased,2208
100,29,Biased,2041
100,29,BarianceOpt,1584
100,29,NaivePairwise,10125
100,29,UnbiasedPairwise,22709
100,29,BiasedPairwise,10084
100,29,PopulationVar,2000
100,29,AltBariance,1541
100,30,Unbiased,3125
100,30,Biased,2500
100,30,BarianceOpt,1792
100,30,NaivePairwise,22833
100,30,UnbiasedPairwise,10292
100,30,BiasedPairwise,22792
100,30,PopulationVar,2541
100,30,AltBariance,1834
100,31,Unbiased,2125
100,31,Biased,2042
100,31,BarianceOpt,1583
100,31,NaivePairwise,10500
100,31,UnbiasedPairwise,22916
100,31,BiasedPairwise,26916
100,31,PopulationVar,2209
100,31,AltBariance,1750
100,32,Unbiased,2209
100,32,Biased,2125
100,32,BarianceOpt,1625
